route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible
"11-SK4-mjp-1","T0","22.T0.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T0","23.T0.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T0","24.T0.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T0","25.T0.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T0","26.T0.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T0","27.T0.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T0","28.T0.11-SK4-mjp-1.2.R","11-SK4-mjp-1.2.R","Melbourne Airport","1","","1"
"11-SK4-mjp-1","T0","3.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T2","3.T2.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T3","3.T3.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","UW","3.UW.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T0","4.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T2","4.T2.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T3","4.T3.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","UW","4.UW.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T0","5.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T2","5.T2.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T3","5.T3.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","UW","5.UW.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T0","6.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T2","6.T2.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T3","6.T3.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","UW","6.UW.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T0","7.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T2","7.T2.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T3","7.T3.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","UW","7.UW.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T0","8.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T2","8.T2.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T3","8.T3.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","UW","8.UW.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T0","9.T0.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T2","9.T2.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","T3","9.T3.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-SK4-mjp-1","UW","9.UW.11-SK4-mjp-1.1.H","11-SK4-mjp-1.1.H","Frankston","0","","1"
"11-Ska-mjp-1","T0","1.T0.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","T2","1.T2.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","T3","1.T3.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","UW","1.UW.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","T0","10.T0.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","T2","10.T2.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","T3","10.T3.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","UW","10.UW.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","T0","11.T0.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","T2","11.T2.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","T3","11.T3.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","UW","11.UW.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","T2","12.T2.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","T3","12.T3.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","UW","12.UW.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","T0","2.T0.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","T2","2.T2.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","T3","2.T3.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","UW","2.UW.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","T0","3.T0.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","T2","3.T2.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","2"
"11-Ska-mjp-1","T3","3.T3.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","UW","3.UW.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","2"
"11-Ska-mjp-1","T0","4.T0.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","T2","4.T2.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","T3","4.T3.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","2"
"11-Ska-mjp-1","UW","4.UW.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","T0","5.T0.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","T2","5.T2.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","T3","5.T3.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","UW","5.UW.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","T0","6.T0.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","T2","6.T2.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","T3","6.T3.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","UW","6.UW.11-Ska-mjp-1.1.H","11-Ska-mjp-1.1.H","Melbourne City","0","","1"
"11-Ska-mjp-1","T0","7.T0.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","T2","7.T2.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
